2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
5930,5930,5930,5930,5930,5930,5930,5930,5930,5930,5930,5930,5930,5930,5930,5930,5930
5490,5490,5380,5380,5380,5380,5380,660,660,660,660,660,660,373220,660,660,660
5380,5380,5490,5490,12330,660,15760,5380,5380,68270,35420,51910,35420,207940,373220,373220,373220
105560,9540,12330,12330,5490,15760,28260,15760,5490,207940,207940,207940,207940,660,207940,207940,207940
15760,12330,270,270,660,5490,90430,12330,51910,5380,5380,68270,35720,51910,5380,5380,5380
55550,51910,51910,51910,35420,35420,12330,35420,35420,51910,12330,35420,6400,6400,5490,68270,329180
66570,55550,9540,15760,270,32830,660,28260,105560,17670,68270,6400,5380,5380,270,270,402340
12330,105560,55550,32830,55550,12330,32830,5490,12330,5490,51910,5380,51910,35420,35420,105560,12450
51910,32830,15760,9540,15760,17670,35420,32830,32830,15760,5490,35720,270,270,51910,35420,34020
34220,270,32830,55550,32830,270,51910,55550,207940,35420,28260,28260,323410,35720,6400,329180,270
17670,15760,105560,660,51910,55550,270,90430,15760,28260,55550,51900,68270,5490,68270,55550,105560
660,96770,96770,96770,9540,105560,18260,17670,28260,105560,105560,270,12330,68270,3670,12330,68270
9540,66570,660,105560,17670,810,55550,105560,55550,55550,51900,12330,5490,28260,28260,10130,28260
3550,3550,17670,17670,105560,90430,17670,51910,17670,12330,17670,5490,377300,105560,35720,5490,35420
53000,34220,10950,66570,96770,34220,34730,34730,34730,34730,34730,66570,105560,12330,12330,28260,55550
96770,660,33780,10950,86790,51910,51900,270,96770,51900,270,36570,66570,55550,105560,138040,42660
30200,17670,66570,3550,23530,86280,810,33780,51900,96770,15760,17670,259960,66570,55550,32830,12330
4170,23530,3550,34220,810,34730,5490,96770,90430,32830,6400,105560,28260,32830,66570,51910,32830
23530,53000,830,33780,66570,3550,33780,51900,66570,18260,18260,15760,96770,96770,96770,6400,15760
810,830,35420,35420,3550,33780,105560,810,251270,6400,32830,96770,55550,15760,32830,96770,9540
4940,30200,810,23530,53000,51900,3550,11170,33780,33780,96770,34730,34730,34730,323410,35720,267260
35420,4170,23530,810,33780,66570,96770,34220,3550,270,35720,55550,51900,3670,11200,810,35720
33780,35420,11170,51900,830,830,2790,9540,18260,810,33780,32830,302440,86790,3550,86790,86790
830,810,30200,830,34220,86790,10950,2790,86790,90430,3550,3550,9150,33780,18260,9540,10130
34020,4020,34220,53000,3600,9540,10130,18260,6400,3550,36570,18260,352820,3550,34730,11200,5490
9150,10950,86790,30200,10140,23530,34220,3550,270,10950,66570,326030,15760,323410,450080,259960,51910
720,24110,4020,10140,86280,30200,66570,10950,10950,86790,90430,9150,36570,10130,86790,12450,810
270,10140,28050,86790,51900,6400,11170,86790,11170,30,810,90430,11200,51900,810,267260,6400
24110,9150,720,3600,10950,2790,35250,10130,810,36570,86790,33780,3550,17670,15760,66570,10140
4020,86790,51900,86280,30200,96770,6400,30,2790,66570,10950,251270,17670,329180,138040,33780,316140
29780,34020,53000,11170,11170,24110,47810,66570,34220,251270,9150,86790,32830,36570,33780,15760,64350
86790,33780,86280,720,139480,3600,128940,4020,30,11170,9540,11170,86790,34020,329180,17670,138040
6400,11170,34020,10130,6400,10130,23530,35250,36570,9540,316140,810,18260,9150,9150,42660,11200
10950,720,240,4020,4020,4020,1040,30200,10130,35720,10130,18880,361610,18260,47050,24110,9150
6360,29780,24110,9150,34730,88350,30200,6400,35720,10130,251270,10950,3670,11200,17670,3550,34730
10140,6400,36570,90430,720,30,86280,161390,24110,24110,11170,9540,33780,10950,10130,316140,96770
90430,10060,10140,6400,42660,161390,86790,24110,30200,30200,30200,10130,34020,810,34020,34020,298040
10060,28050,88350,88350,35250,35250,1800,23530,4020,9150,21240,9830,251270,30200,352820,30200,33780
12450,4940,6400,78930,24110,21240,24110,21240,139480,32640,24110,86280,3490,3490,316140,3670,24110
51900,42660,90430,28050,88350,1800,4020,47810,35250,35250,2790,316140,90430,316140,24110,402340,3670
28050,90430,35250,24110,36460,139480,9540,86280,9150,34220,35250,24110,10130,9830,259960,10140,267250
16360,3600,34730,1800,10130,2380,21240,88350,18880,4990,32640,19170,10950,259960,30200,323410,66570
47040,78930,10130,35250,90430,10950,88350,18880,21240,720,18880,34220,810,90430,3490,18260,352820
3600,51900,9150,36460,1800,11170,30,36570,8930,4020,34220,30200,316140,24110,9540,100,10120
2380,35250,3600,42660,9150,18880,161390,1040,161390,23530,267250,3670,402340,377300,90430,34730,86280
3490,6360,1300,34730,36570,29780,18880,139480,128940,2790,86280,6800,34220,352820,326030,9150,6800
240,16360,10060,4940,78930,32640,9240,4800,6800,18880,6800,97950,11070,11170,10950,86280,30200
10130,86280,11780,1300,21240,11210,139480,32640,267250,267250,78930,352820,329180,86280,42660,326030,18260
6800,1300,4940,34020,11210,720,5830,78930,32640,21240,720,21240,30200,11070,402340,3490,150
36460,12450,29780,97950,2380,36460,97950,97950,88350,128940,10140,32640,24110,302440,86280,352820,3550
6260,10130,6360,47050,47050,1040,78930,720,9540,139480,29780,4020,326030,97950,10140,42700,42700
35250,11200,78930,11210,32640,10140,36570,29780,78930,5830,4020,100,11170,326030,9830,5830,259960
11200,6800,42660,29780,1300,120,9150,9240,23530,97950,271560,35250,18880,60,377300,47050,17670
880,3490,47040,47040,10060,9150,32640,36460,1040,161390,161390,34020,9830,383220,11170,90430,47810
42660,240,1800,16360,29780,97950,2380,5830,9830,8930,71050,8930,11790,138040,12450,10950,323410
47050,42670,32640,11780,18880,36570,9830,27410,5830,86280,4990,271560,9540,251270,1570,267250,272210
11170,36570,16360,10060,5830,5830,120,9830,86280,271560,97950,161390,86280,271560,5830,3230,326030
36570,10620,97950,6800,69960,47810,7310,120,4800,78930,23530,3490,20150,9540,161390,47810,10950
78930,9830,69960,69960,34020,78930,7070,1800,4990,10140,28050,285130,32640,47810,361610,10620,71050
4800,2380,11200,2790,2790,8770,4800,2380,97950,36460,5830,6280,97950,35250,28050,64350,79550
210,47040,150,10520,97950,51600,51600,9150,29780,6800,120,2790,138040,402340,302440,21240,5830
10120,210,52690,1040,10620,42660,12750,10140,47810,29780,5940,267250,6800,32640,51900,180640,3230
21240,150,9830,32640,16360,47050,29780,7070,271560,12750,139480,11200,4020,5830,11070,51900,307950
12630,36460,6800,21240,1040,138930,36460,8930,9240,120,12750,10140,21240,10140,36570,10120,47050
1300,32640,36460,11200,10520,16360,4990,12630,1450,5940,8770,11070,35250,267250,100,161390,7660
42670,4800,3490,36570,210,6800,720,12750,2380,88350,16360,128940,11780,34220,251270,79550,100
37620,47050,210,3490,30000,69960,16360,128940,12750,42660,241560,71050,720,28050,267250,6800,443060
5280,880,2380,12450,9830,12630,6800,47050,720,210,128940,11780,10140,18880,241560,450080,278470
69960,6260,42670,2380,138930,3490,100,210,36460,1450,36460,720,161390,21240,180640,251270,3490
1740,1740,47050,6260,47040,71050,880,138930,71050,6360,47810,180640,28050,100,47810,5940,180640
3450,69960,10520,210,880,12750,8770,34020,5940,282330,11070,139480,71050,78930,4020,34220,720
97950,21240,21240,42670,150,11070,11210,5940,282330,28050,81660,29780,100,4020,97950,32640,39490
150,5940,12450,6360,6800,34020,69960,1450,11070,1040,210,120,139480,720,271560,29780,5940
28670,97950,1740,150,47810,4990,12630,880,8770,9830,100,16360,267250,361610,6800,272210,161390
5940,10120,880,52690,12450,47040,5300,4990,120,71050,9830,4990,271560,161390,32640,150,90430
5270,5280,4990,12750,12750,4800,71050,69960,16360,2380,7070,11790,180640,8560,34220,241560,377300
10620,11070,6260,880,11780,11780,5940,11780,10060,7070,282330,336260,241560,6800,128940,36570,29780
9830,12630,4170,9830,4990,210,4370,51600,3490,241560,42660,78930,16360,11780,21240,71050,16360
12750,37620,18880,4800,42670,880,37620,16360,880,3490,1040,3410,5940,282330,720,16360,6260
4990,71050,10620,10620,28050,1740,10140,6800,138930,3410,30000,26960,3410,128940,18880,302440,32640
1040,3450,1040,138930,8770,670,210,71050,11780,47810,4170,12750,5830,12450,29780,11790,21240
71050,28670,12750,30000,6260,240,5440,12450,7070,8770,3410,8770,78930,10620,78930,271560,11070
100,1040,30000,18880,4800,150,30000,7310,210,17800,3490,5830,2790,11790,11780,11070,64400
1800,11780,138930,71050,4170,114090,11070,100,4170,16360,138930,112610,8930,241560,71050,97950,880
1230,1800,670,5940,52690,42670,5610,204320,204320,11780,1450,5940,29780,36460,35250,78930,34220
4370,1230,2790,120,670,5940,47040,150,26960,4170,2380,210,36460,29780,5940,298040,128940
18880,120,115390,60980,120,52690,4170,47040,12630,7310,28670,3090,128940,8770,383220,128940,241560
30000,4990,71050,4990,71050,30000,6280,11070,7310,30000,8930,6360,14680,4990,272210,377300,78930
6120,5270,5940,80,60980,9830,138930,670,28670,10060,6360,241560,8560,28670,10620,35250,454910
10520,18880,10120,4170,7070,7070,34020,3490,10140,8560,8560,39490,6360,137310,11790,454910,1040
120,4000,4800,1740,240,10060,14820,28050,8560,10620,47050,42660,990,64350,16360,138930,138930
640,12750,1120,670,100,5300,105630,11210,6280,100,11780,23530,47810,2790,112610,28050,28050
4000,10520,5300,10120,5940,37620,670,4370,47040,880,80,204320,336260,3410,120,36460,175330
2790,100,2350,100,11200,100,161890,240,100,138930,88350,36460,52690,112610,267260,175330,9830
8930,67250,120,5300,10120,10120,3490,6260,6260,64350,7310,1040,7070,7070,64350,6260,36570
6280,64420,80,1120,1740,4170,150,6280,69960,28670,880,7070,204320,71050,6260,39490,1440
1120,97230,120110,11070,5300,6260,111770,120110,30000,47040,9420,81660,4990,5940,3410,66970,22100
670,2790,1430,4000,3490,11200,47050,10060,28050,69620,11790,28670,8770,16360,8930,22100,4020
97230,670,4000,4370,73240,7310,12450,42670,150,47050,69960,28050,26960,139480,4990,1040,11790
5300,30000,100,120110,12630,80,10060,8770,120110,11070,20150,4170,272210,47050,1450,9830,62040
68870,1120,3450,73240,37620,10520,6120,1740,47050,294870,47040,8560,28670,1450,79550,26960,35250
2020,640,17800,12630,11070,73240,80,4170,6360,69960,17800,185750,12750,30000,1040,720,51900
93050,3240,6280,2350,80,105630,192820,30000,4370,150,10620,30000,10620,23530,990,4020,251270
67250,6280,4370,37620,6360,4370,240,6650,670,20150,51600,47810,112610,1040,8770,11170,271560
25860,11790,3240,11790,4370,28050,3450,8560,69620,9420,26960,9240,39490,6040,39490,81660,66970
34120,11810,6120,3450,6280,6280,120110,5300,10120,12450,12450,80,2380,180640,14680,11780,302440
11810,103140,64420,6280,3240,108670,49770,6120,240,111770,4800,990,120,88350,88350,4990,450080
1440,6120,11790,115390,1680,6120,11780,3520,3410,26960,204320,6260,47050,20150,81660,1450,2380
3240,1430,37620,640,120110,10620,114090,64350,5250,6260,10120,282330,298050,12750,52690,4370,111770
64420,4370,11070,17800,7310,2350,17800,5440,6120,6280,1740,14680,138930,6260,2790,12750,82740
3410,103150,1230,6120,2350,3240,70,80,11210,161890,6260,20150,285130,120,7070,2380,52690
11790,17800,28670,3240,115390,12450,1120,5610,114090,42670,6280,10060,30000,4170,4370,1440,36460
140,5300,12630,69260,108670,5610,1740,161890,12450,9240,111770,880,1040,4370,282330,880,17800
3300,77970,93050,5180,1120,10780,108670,17800,20150,240,31430,1450,4170,138930,138930,383220,97950
69260,1440,73240,28670,11790,3620,6260,14820,42670,3240,69620,88350,6280,14680,30000,88350,71970
2350,93050,640,1430,6120,1680,10120,3410,51600,4370,10060,47040,10060,39490,12750,52690,11780
16380,68870,97230,1680,4000,3450,52690,10620,11790,120110,4370,7310,12450,52690,175330,51600,11170
1430,25860,67250,2270,2270,120110,2270,111770,80,51600,9240,5250,23530,8930,10120,18880,88350
77970,700,6380,128940,3450,49770,2350,57050,1740,73240,214320,9420,42660,26960,36460,17800,12750
69620,2350,108670,103140,93050,17800,3240,73240,1800,114090,120110,10120,47040,42660,9420,9420,4990
19680,108670,69260,93050,69260,1120,3410,10780,192400,10120,11210,272210,88350,272210,2380,8930,204320
11780,69260,5850,1230,3620,69260,64960,2350,6650,670,240,64350,282330,81660,28670,6280,1450
29530,6380,11810,78520,1430,33920,11790,2620,34020,204320,64350,69620,880,111770,23530,120,103140
3570,3570,103140,34120,128940,3300,64350,10120,161890,11790,990,138930,375500,79550,111770,111770,9970
8000,70,34120,7310,69620,1430,10780,192400,4000,5440,150,10620,298020,80,139480,204320,383220
5180,5180,93370,3620,5180,161890,1680,42660,3520,1740,670,2380,64350,880,10060,278470,8930
7310,51310,20000,3920,1230,128940,170900,114090,10620,214320,1800,3000,80,1440,20150,30000,4370
2240,29530,3620,108670,20000,11790,6650,11790,115390,192820,3240,4370,1450,2380,204320,282330,4170
4150,8000,5180,20000,105630,3410,1430,1120,79160,80,3520,294870,93370,336260,298050,5070,139130
70,140,4490,68870,103140,93050,3620,1230,64350,3000,4000,47050,11210,7310,26960,2790,240
7570,69620,1680,4490,97230,4000,10620,3240,3240,5250,294870,69960,81660,10060,880,139480,81660
3000,2240,2240,240,3920,70,73240,192820,5440,115390,5440,42670,9240,69620,42670,192820,30000
17800,3300,2270,3030,4490,2270,25540,103140,5610,34020,14680,4800,150,204320,185750,28670,26960
1210,3410,3570,20760,7860,69620,33920,145990,214320,49770,34020,6650,4000,6360,4170,112610,14680
20000,3920,3920,97230,68870,20000,68870,3620,57050,57050,42670,17800,120110,990,7310,240,120
2990,4150,6650,51310,34120,60980,20000,70,103140,5300,73240,13890,4800,47040,17800,6360,139480
6380,4490,68870,67250,44820,5180,4000,640,111770,1800,114090,10780,111770,10120,3620,7310,28670
4490,4710,7570,82740,29530,2240,7570,1060,17800,3520,5300,240,4370,5300,3230,23530,51600
16800,6650,8060,29530,70,25540,185750,185750,9420,4000,5250,3520,3090,6280,5850,361610,2790
3920,16380,19680,70,640,170900,42660,14680,185750,185750,10780,4000,6260,42670,11210,489790,9420
1940,19680,25860,430,2960,103140,42670,105630,79550,6650,185750,111770,7310,298050,47040,4170,11210
1630,20000,29530,1630,82740,29530,11200,3000,14820,12630,161890,12450,10120,298020,80,5850,10060
9680,34120,51310,2240,6650,640,640,1430,1120,71840,170900,51600,178920,51600,150,1570,1430
84010,990,7310,5850,17800,3000,3000,1680,1230,5610,57050,11210,19170,150,240,73240,5850
6650,2020,70,69620,19680,4490,93050,2270,2350,2350,2350,1740,51600,240,2710,139130,6040
3480,3000,1440,7570,3300,5850,5740,170900,3000,10780,3000,6120,69620,1120,4000,161890,6280
8060,3480,10690,8060,430,8000,69620,52690,192820,11210,69260,7570,69960,69960,5420,69620,8770
2270,7310,8000,11810,2240,115390,3300,69260,5300,170900,49770,214320,17800,4800,6110,42670,18880
91090,7570,3190,19680,3030,9290,2240,108670,10780,20000,5850,16380,240,11210,6280,8770,23530
64960,103590,700,6380,3410,19680,5180,20000,105630,69260,1680,31430,1230,4000,51600,7070,69620
93370,9580,84870,140,4150,34120,14680,2240,3300,14680,285130,161890,1440,210,73240,80,69960
20,9720,3030,93370,84870,64960,115390,4000,70,1060,5610,7700,5850,3090,137310,103140,112610
50,14830,4150,3000,7570,68870,60980,5850,1430,1680,6650,670,294870,375500,139130,3090,192820
480,16800,5090,3300,8000,8490,103140,115390,1680,2270,8060,1120,14820,114090,145720,137310,282330
700,64960,7860,3410,33920,480,19680,25540,145990,27410,14820,4490,20560,285130,192820,185750,361610
990,8060,9580,3570,49770,1230,230,49770,69260,52690,18250,5300,79550,14820,298020,192080,457190
1130,50,10780,4150,5850,2960,2960,69620,93050,285130,20000,32350,9900,670,336260,47040,34230
1520,104700,13570,7340,3000,3030,4490,7570,93370,79550,52690,57050,210,1230,375500,14820,17960
1680,1130,14830,9420,79980,3920,4710,990,52690,103140,71840,192820,1740,5850,9240,10060,7340
2030,1210,16800,9680,4130,97230,5850,1520,640,105630,79160,73240,5250,6650,120110,9970,7310
3030,1630,64960,10690,5740,6650,145990,5180,1060,192400,93370,93370,185750,9240,1440,375500,7070
3640,1680,69620,20150,7340,7340,28050,9420,5850,79160,115390,114090,10780,17800,69620,9240,6360
3940,2270,77970,25860,8060,8060,34120,93370,6840,70,192400,120110,42670,280360,5300,5300,73240
4130,3030,3000,33920,9680,25860,36580,33920,170900,640,192820,192080,73240,20560,161890,457190,161890
5090,3640,140,1440,10690,82740,69260,60980,20000,1230,3850,69260,5300,32350,4800,4000,375500
5680,4430,103590,990,10780,4150,79430,64960,49770,4800,640,150,670,93370,1740,336260,47040
7340,5090,990,104700,14830,430,9290,93050,108670,5180,1060,1680,3240,120110,6360,4490,4000
8730,8930,1130,3190,20150,7570,50,19680,14680,93370,1120,1800,4490,271940,210,298020,80
9200,9680,1520,4430,20760,79980,1230,2960,3620,6840,105630,3240,6650,19170,1120,11210,300720
9720,25000,1630,5090,25540,14830,3920,3030,7570,8060,64960,3850,192080,1740,280360,14680,3090
14820,93370,2020,5950,51310,16800,7340,3300,19680,14820,79550,284740,13890,1800,3090,1120,285130
14830,480,2960,6650,64960,9680,93370,3850,25540,93050,103140,14820,16380,9420,285130,300720,71320
17960,230,3300,7860,3570,140,20150,29530,79430,5850,12630,20560,32350,10780,103140,280360,192080
25000,91090,3410,8000,140,104700,25860,4490,60980,1120,70,79160,9420,31430,93370,69960,1800
25850,1520,7340,10780,93370,3570,29530,7340,64960,1430,145990,103140,1120,192080,9970,5250,5300
51310,1790,7690,13570,3520,4130,8490,20150,73240,145990,1430,241590,284740,103140,69960,1740,120110
73240,1940,8040,14830,4710,4710,3200,3920,29530,19680,2270,5440,3000,161890,16380,39130,185750
85310,2030,9680,25540,6380,5090,3520,50,990,25860,4490,70,3520,178920,14820,1800,6650
230,2390,16380,64960,7690,5740,3570,1780,2240,3620,5180,192400,3850,185750,10780,298050,4490
1060,3120,20760,77970,7810,7810,104700,5740,2270,990,6120,1230,6120,39130,9900,2840,3240
25540,3190,25000,84870,9580,9580,8060,8060,2960,1520,6390,3230,20000,1680,6650,145720,670
15590,3940,25540,2960,13570,10690,14830,8490,3030,2240,6840,5610,31430,3240,1800,120110,9240
13570,4130,33530,50,16800,20150,97230,79430,96760,2960,19680,12630,69260,5250,1430,114090,298050
9580,5500,480,103590,25000,33530,5090,14830,4490,3850,27410,18250,79160,9900,670,69260,298020
1790,5680,50,700,25860,51310,140,25860,5180,3920,60980,20000,103140,300720,300720,3620,280360
2300,7340,1210,1130,33530,78520,480,34120,25860,108670,93050,49770,105630,69260,271940,3030,137310
2390,8730,2030,1520,78520,84870,3030,36580,27410,6120,108670,52690,161890,73240,192080,2710,114090
3120,9200,3120,2020,990,93370,4150,9290,33920,7570,1230,64960,192820,192820,178920,1680,93370
3520,9290,3480,3120,700,2020,4700,140,3920,25540,1520,71840,241590,16380,105630,1430,1680
4710,14820,3640,3480,1440,990,79980,3200,50,60980,2240,79550,1800,3850,69260,210,3030
5500,15590,104700,4710,1630,1440,7860,3570,1520,79430,2960,105630,70,4490,114090,285130,2840
6390,17960,4430,5690,2020,3520,9580,4700,3850,96760,96760,108670,1680,5440,8730,105630,2030
8320,25540,4710,7690,4430,4430,9680,4710,4710,4490,14830,145990,2350,13890,5250,456040,5250
9290,25850,5680,8040,104700,33240,42700,104700,97230,3300,25540,1060,5440,20000,4490,93370,14820
9440,84010,8730,9580,5690,7860,78520,7210,9290,14830,25860,2350,192400,381970,39130,8730,268280
11930,85310,17900,16380,5950,13570,7690,7690,14830,298040,7570,5180,49770,105630,20560,178920,5420
11400,1060,84010,25000,9420,20760,10690,78520,34120,34120,3620,115390,57050,241590,31430,6110,8730
14990,20,4130,33530,77970,7690,84870,97230,36580,64960,298040,8350,64960,284740,32350,5420,69260
6840,100840,71970,480,5090,6380,82740,5090,8060,33920,79430,9410,114090,294870,1680,271940,210
27970,2300,25850,103130,103130,5950,33530,230,78520,97230,3920,6390,6040,57050,19170,6650,
,,,,,,,,,36580,,,,,,,
